('2006-9-11', 34.00, 'Botteghino', 'D', 2, 13, 1),
('2017-7-8', 40.00, 'Botteghino', 'A', 9, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'B', 6, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'C', 5, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'F', 6, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'F', 7, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'E', 1, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'C', 5, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'C', 9, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'C', 8, 5, 3),
('2003-5-2', 41.00, 'Botteghino', 'D', 9, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'B', 6, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'B', 8, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'E', 2, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 4, 12, 4),
('2003-5-2', 41.00, 'Prenotato', 'E', 4, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'E', 5, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 7, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 2, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'F', 2, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'A', 8, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'B', 4, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 9, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'E', 8, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'E', 3, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 6, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 4, 12, 4),
('2003-5-2', 41.00, 'Prenotato', 'E', 5, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'D', 8, 12, 4),
('2003-5-2', 41.00, 'Botteghino', 'C', 9, 12, 4),
('2010-4-1', 34.00, 'Botteghino', 'B', 9, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'C', 9, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'E', 2, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'E', 9, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'D', 4, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'E', 2, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'B', 9, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'E', 9, 4, 5),
('2010-4-1', 34.00, 'Prenotato', 'E', 6, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'B', 6, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'C', 5, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'C', 2, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'B', 1, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'D', 9, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'A', 2, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'E', 3, 4, 5),
('2010-4-1', 34.00, 'Online', 'A', 2, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'B', 4, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'F', 4, 4, 5),
('2010-4-1', 34.00, 'Botteghino', 'A', 7, 4, 5),
('2017-4-8', 34.00, 'Botteghino', 'A', 6, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'D', 8, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 8, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 7, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 1, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'D', 4, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 6, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'A', 3, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'E', 1, 12, 6),
('2017-4-8', 34.00, 'Prenotato', 'F', 1, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'E', 7, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'F', 5, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 1, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'E', 7, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'A', 6, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'C', 9, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'E', 5, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'D', 6, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'B', 4, 12, 6),
('2017-4-8', 34.00, 'Botteghino', 'A', 4, 12, 6),
('2007-3-21', 49.00, 'Botteghino', 'C', 2, 12, 7),
('2007-3-21', 49.00, 'Prenotato', 'A', 6, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 1, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 6, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'E', 3, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 3, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'D', 9, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'E', 3, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 4, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'C', 5, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'C', 5, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'B', 8, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 6, 12, 7),
('2007-3-21', 49.00, 'Prenotato', 'E', 4, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'C', 7, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 7, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'C', 7, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'A', 7, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'F', 1, 12, 7),
('2007-3-21', 49.00, 'Botteghino', 'B', 4, 12, 7),
('2004-6-14', 30.00, 'Botteghino', 'A', 5, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'A', 9, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'B', 5, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'B', 2, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'D', 6, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'C', 2, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'B', 9, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'A', 3, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'A', 8, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'B', 1, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'D', 7, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'B', 6, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'A', 7, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'F', 8, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'D', 3, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'E', 3, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'D', 1, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'F', 4, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'F', 8, 7, 8),
('2004-6-14', 30.00, 'Botteghino', 'D', 6, 7, 8),
('2021-1-20', 45.00, 'Botteghino', 'F', 3, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'E', 7, 9, 9),
('2021-1-20', 45.00, 'Prenotato', 'E', 4, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'D', 5, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'D', 8, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'B', 4, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'B', 2, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'A', 8, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'A', 7, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'D', 7, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'C', 1, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'E', 5, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'C', 8, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'A', 7, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'B', 4, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'A', 6, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'A', 4, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'E', 7, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'B', 9, 9, 9),
('2021-1-20', 45.00, 'Botteghino', 'D', 7, 9, 9),
('2005-1-8', 42.00, 'Botteghino', 'A', 1, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'D', 5, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'C', 8, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'B', 3, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'C', 6, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'A', 1, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'D', 9, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'D', 5, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'E', 9, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'B', 1, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'E', 7, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'C', 9, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'C', 5, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'F', 6, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'D', 9, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'E', 8, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'F', 5, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'E', 9, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'D', 8, 14, 10),
('2005-1-8', 42.00, 'Botteghino', 'B', 4, 14, 10),
('2013-12-24', 38.00, 'Botteghino', 'D', 4, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'F', 3, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'A', 8, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'B', 2, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'F', 4, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'F', 9, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'B', 1, 2, 11),
('2013-12-24', 38.00, 'Prenotato', 'C', 3, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'C', 8, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'A', 3, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'B', 6, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'E', 6, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'E', 5, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'F', 6, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'D', 1, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'A', 7, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'C', 5, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'C', 7, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'E', 6, 2, 11),
('2013-12-24', 38.00, 'Botteghino', 'E', 1, 2, 11),
('2014-2-14', 38.00, 'Botteghino', 'C', 1, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'A', 4, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'D', 2, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'B', 6, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'B', 2, 10, 12),
('2014-2-14', 38.00, 'Prenotato', 'E', 8, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'E', 4, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'C', 8, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'E', 5, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'C', 1, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'E', 8, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'E', 1, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'F', 2, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'B', 8, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'C', 7, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'A', 5, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'F', 7, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'E', 1, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'B', 6, 10, 12),
('2014-2-14', 38.00, 'Botteghino', 'F', 3, 10, 12),
('2004-7-10', 44.00, 'Prenotato', 'E', 1, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'A', 9, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'C', 4, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'D', 6, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'C', 7, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'E', 1, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'A', 6, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'E', 5, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'D', 6, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'A', 8, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'E', 6, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'C', 4, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'F', 7, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'E', 6, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'F', 5, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'B', 7, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'C', 2, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'C', 3, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'B', 7, 12, 13),
('2004-7-10', 44.00, 'Botteghino', 'D', 7, 12, 13),
('2018-12-29', 41.00, 'Botteghino', 'D', 3, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'C', 8, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 7, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'B', 5, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 7, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'F', 1, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'A', 1, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 5, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'C', 6, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'C', 8, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 4, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'E', 6, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'F', 2, 6, 14),
('2018-12-29', 41.00, 'Prenotato', 'F', 6, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'F', 9, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'C', 9, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'C', 9, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 5, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'D', 8, 6, 14),
('2018-12-29', 41.00, 'Botteghino', 'F', 5, 6, 14),
('2011-8-24', 44.00, 'Botteghino', 'C', 2, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'B', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'D', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'A', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'A', 1, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'F', 8, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'E', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'A', 3, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'F', 6, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'D', 3, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'D', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'C', 5, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'F', 3, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'B', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'A', 8, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'D', 5, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'A', 7, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'F', 2, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'E', 4, 4, 15),
('2011-8-24', 44.00, 'Botteghino', 'E', 7, 4, 15),
('2002-7-10', 33.00, 'Botteghino', 'A', 2, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'B', 5, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'C', 7, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'D', 6, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'E', 3, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'F', 8, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'F', 1, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'D', 4, 14, 16),
('2002-7-10', 33.00, 'Prenotato', 'B', 3, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'A', 4, 14, 16),
('2002-7-10', 33.00, 'Online', 'A', 6, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'E', 7, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'F', 3, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'F', 9, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'F', 1, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'B', 3, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'C', 4, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'A', 7, 14, 16),
('2002-7-10', 33.00, 'Online', 'F', 9, 14, 16),
('2002-7-10', 33.00, 'Botteghino', 'B', 9, 14, 16),
('2017-1-24', 46.00, 'Botteghino', 'F', 2, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'B', 8, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'B', 4, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'A', 7, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'A', 4, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'B', 3, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'D', 7, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'E', 6, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'E', 7, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'E', 1, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'B', 7, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'B', 9, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'E', 8, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'C', 2, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'A', 3, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'D', 7, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'E', 8, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'A', 6, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'D', 8, 6, 17),
('2017-1-24', 46.00, 'Botteghino', 'D', 2, 6, 17),
('2010-6-14', 49.00, 'Botteghino', 'D', 3, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 2, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'D', 2, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'B', 8, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'D', 4, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'C', 7, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 4, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'B', 5, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'B', 4, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'B', 2, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 2, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'A', 8, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'E', 9, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'E', 4, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'E', 5, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 1, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'A', 4, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 9, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'F', 7, 4, 18),
('2010-6-14', 49.00, 'Botteghino', 'A', 3, 4, 18),
('2016-6-9', 34.00, 'Botteghino', 'F', 5, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'B', 8, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'D', 1, 10, 19),
('2016-6-9', 34.00, 'Online', 'D', 8, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'C', 4, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'F', 7, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'A', 3, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'D', 1, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'C', 1, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'E', 5, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'D', 9, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'D', 8, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'A', 6, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'D', 5, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'F', 5, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'F', 4, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'B', 8, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'E', 6, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'B', 5, 10, 19),
('2016-6-9', 34.00, 'Botteghino', 'F', 1, 10, 19),
('2011-11-3', 31.00, 'Botteghino', 'F', 8, 14, 20),
('2011-11-3', 31.00, 'Prenotato', 'D', 3, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'E', 8, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'F', 2, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'B', 6, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'D', 8, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'A', 3, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'A', 9, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'C', 8, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'B', 1, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'B', 9, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'C', 9, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'C', 5, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'B', 2, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'A', 6, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'D', 7, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'B', 1, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'A', 2, 14, 20),
('2011-11-3', 31.00, 'Botteghino', 'D', 2, 14, 20),
