('2006-9-11', '18:00', '20:30', 13, 2),
('2008-1-8', '16:00', '18:30', 2, 1),
('2009-7-27', '18:00', '20:30', 11, 16),
('2014-6-20', '17:00', '19:30', 2, 16),
('2013-6-1', '18:00', '20:30', 5, 17),
('2014-10-18', '19:00', '21:30', 4, 12),
('2020-5-20', '21:00', '23:30', 4, 11),
('2022-3-30', '21:00', '23:30', 5, 9),
('2014-3-11', '21:00', '23:30', 14, 15),
('2021-12-19', '16:00', '18:30', 11, 16),
('2008-11-1', '17:00', '19:30', 15, 10),
('2012-4-20', '17:00', '19:30', 12, 6),
('2021-7-28', '17:00', '19:30', 13, 2),
('2008-10-24', '17:00', '19:30', 12, 1),
('2007-2-18', '17:00', '19:30', 14, 16),
('2022-1-8', '17:00', '19:30', 1, 12),
('2016-8-10', '21:00', '23:30', 4, 11),
('2003-5-8', '17:00', '19:30', 1, 8),
('2020-5-1', '20:00', '22:30', 12, 13),
('2010-4-7', '18:00', '20:30', 1, 3),
('2003-4-5', '18:00', '20:30', 11, 11),
('2011-2-2', '21:00', '23:30', 15, 1),
('2010-3-7', '17:00', '19:30', 15, 6),
('2010-9-11', '17:00', '19:30', 10, 7),
('2017-1-28', '21:00', '23:30', 11, 2),
('2008-7-6', '21:00', '23:30', 8, 12),
('2007-9-20', '16:00', '18:30', 5, 12),
('2005-6-30', '21:00', '23:30', 2, 3),
('2010-8-8', '21:00', '23:30', 7, 14),
('2019-1-13', '17:00', '19:30', 6, 15),
('2005-6-13', '21:00', '23:30', 10, 3),
('2010-1-6', '17:00', '19:30', 10, 4),
('2016-2-16', '20:00', '22:30', 4, 2),
('2003-10-2', '21:00', '23:30', 10, 12),
('2006-4-8', '20:00', '22:30', 3, 12),
('2012-3-6', '19:00', '21:30', 5, 15),
('2016-1-7', '21:00', '23:30', 6, 4),
('2016-10-2', '19:00', '21:30', 1, 6),
('2005-6-27', '21:00', '23:30', 6, 2),
('2011-9-17', '16:00', '18:30', 13, 7),
('2021-4-17', '21:00', '23:30', 12, 6),
('2003-10-2', '21:00', '23:30', 2, 5),
('2020-4-10', '18:00', '20:30', 11, 16),
('2006-7-19', '17:00', '19:30', 2, 13),
('2002-12-25', '16:00', '18:30', 1, 13),
('2015-3-18', '19:00', '21:30', 9, 15),
('2004-7-7', '20:00', '22:30', 12, 4),
('2009-4-12', '19:00', '21:30', 13, 17),
('2009-4-7', '20:00', '22:30', 3, 2),
('2007-7-1', '18:00', '20:30', 3, 17),
('2003-8-13', '16:00', '18:30', 11, 9),
('2009-2-19', '21:00', '23:30', 7, 5),
('2010-4-20', '20:00', '22:30', 7, 5),
('2015-9-1', '21:00', '23:30', 2, 13),
('2011-5-10', '18:00', '20:30', 6, 4),
('2020-11-25', '18:00', '20:30', 11, 12),
('2011-12-27', '17:00', '19:30', 11, 2),
('2009-8-16', '20:00', '22:30', 5, 4),
('2011-4-30', '21:00', '23:30', 8, 17),
('2017-10-7', '19:00', '21:30', 8, 1),
('2017-8-1', '18:00', '20:30', 3, 15),
('2007-4-15', '20:00', '22:30', 7, 17),
('2021-2-28', '17:00', '19:30', 2, 13),
('2016-4-28', '19:00', '21:30', 12, 10),
('2012-8-7', '19:00', '21:30', 8, 2),
('2005-7-5', '19:00', '21:30', 4, 10),
('2015-7-1', '18:00', '20:30', 7, 15),
('2019-11-29', '16:00', '18:30', 7, 7),
('2009-2-1', '17:00', '19:30', 1, 5),
('2008-2-25', '18:00', '20:30', 2, 9),
('2014-9-16', '20:00', '22:30', 13, 14),
('2006-5-24', '17:00', '19:30', 1, 1),
('2007-6-7', '21:00', '23:30', 2, 7),
('2022-8-26', '19:00', '21:30', 10, 3),
('2021-12-25', '19:00', '21:30', 5, 5),
('2006-2-10', '18:00', '20:30', 2, 4),
('2022-1-30', '17:00', '19:30', 8, 1),
('2009-4-3', '18:00', '20:30', 15, 17),
('2009-10-7', '18:00', '20:30', 4, 17),
('2003-8-15', '20:00', '22:30', 5, 8),
('2021-7-29', '19:00', '21:30', 7, 1),
('2022-11-18', '18:00', '20:30', 8, 15),
('2008-2-27', '21:00', '23:30', 1, 3),
('2003-5-25', '20:00', '22:30', 11, 11),
('2020-4-15', '17:00', '19:30', 3, 1),
('2012-7-18', '20:00', '22:30', 10, 3),
('2005-7-17', '20:00', '22:30', 8, 6),
('2010-8-15', '19:00', '21:30', 10, 11),
('2003-12-15', '17:00', '19:30', 9, 14),
('2005-3-10', '21:00', '23:30', 1, 6),
('2017-4-28', '16:00', '18:30', 14, 15),
('2007-2-2', '19:00', '21:30', 12, 13),
('2006-7-23', '17:00', '19:30', 3, 1),
('2020-3-7', '21:00', '23:30', 11, 1),
('2002-11-8', '21:00', '23:30', 11, 10),
('2002-8-3', '19:00', '21:30', 5, 3),
('2011-3-5', '17:00', '19:30', 7, 6),
('2014-5-25', '19:00', '21:30', 6, 2),
('2004-1-2', '16:00', '18:30', 12, 9),
('2004-12-5', '21:00', '23:30', 5, 11),
('2006-8-23', '16:00', '18:30', 11, 14),
('2016-9-20', '16:00', '18:30', 8, 7),
('2009-1-16', '16:00', '18:30', 6, 12),
('2022-10-29', '19:00', '21:30', 14, 10),
('2021-5-11', '21:00', '23:30', 15, 9),
('2018-2-19', '18:00', '20:30', 13, 9),
('2011-1-12', '16:00', '18:30', 6, 5),
('2010-11-6', '19:00', '21:30', 13, 5),
('2021-7-30', '21:00', '23:30', 2, 12),
('2011-9-13', '19:00', '21:30', 13, 3),
('2016-4-23', '16:00', '18:30', 5, 15),
('2007-3-16', '19:00', '21:30', 15, 1),
('2007-2-24', '20:00', '22:30', 12, 3),
('2015-8-23', '19:00', '21:30', 4, 14),
('2007-7-30', '19:00', '21:30', 15, 1),
('2010-1-6', '17:00', '19:30', 6, 17),
('2007-11-15', '16:00', '18:30', 1, 3),
('2010-5-13', '18:00', '20:30', 14, 7),
('2005-9-27', '19:00', '21:30', 7, 14),
('2012-11-20', '17:00', '19:30', 11, 15),
('2022-5-25', '16:00', '18:30', 7, 11),
('2019-4-4', '18:00', '20:30', 9, 5),
('2022-11-8', '20:00', '22:30', 1, 2),
('2009-6-6', '19:00', '21:30', 2, 16),
('2005-1-6', '20:00', '22:30', 2, 8),
('2007-4-12', '18:00', '20:30', 6, 16),
('2011-12-27', '21:00', '23:30', 6, 16),
('2003-6-14', '17:00', '19:30', 7, 17),
('2019-10-10', '16:00', '18:30', 1, 12),
('2016-5-8', '19:00', '21:30', 14, 16),
('2012-1-28', '19:00', '21:30', 15, 4),
('2017-7-15', '18:00', '20:30', 13, 13),
('2011-9-20', '18:00', '20:30', 11, 3),
('2017-6-5', '20:00', '22:30', 9, 6),
('2005-11-4', '16:00', '18:30', 13, 3),
('2008-6-15', '17:00', '19:30', 13, 8),
('2004-9-17', '17:00', '19:30', 5, 4),
('2004-8-12', '17:00', '19:30', 6, 4),
('2017-9-11', '21:00', '23:30', 1, 10),
('2020-10-28', '17:00', '19:30', 13, 9),
('2022-10-15', '19:00', '21:30', 12, 6),
('2003-5-8', '17:00', '19:30', 5, 17),
('2020-12-13', '18:00', '20:30', 1, 5),
('2005-1-30', '16:00', '18:30', 13, 9),
('2010-6-13', '17:00', '19:30', 13, 12),
('2004-11-28', '19:00', '21:30', 5, 9),
('2009-7-10', '20:00', '22:30', 10, 15),
('2003-1-25', '17:00', '19:30', 10, 13),
('2013-8-9', '21:00', '23:30', 3, 14),
('2004-4-10', '18:00', '20:30', 3, 15),
('2019-7-27', '16:00', '18:30', 14, 11),
('2016-3-12', '21:00', '23:30', 2, 7),
('2005-10-18', '21:00', '23:30', 6, 11),
('2015-3-24', '16:00', '18:30', 10, 10),
('2013-10-20', '19:00', '21:30', 5, 5),
('2003-5-26', '20:00', '22:30', 10, 11),
('2022-6-4', '17:00', '19:30', 13, 11),
('2003-5-10', '19:00', '21:30', 1, 8),
('2004-3-30', '20:00', '22:30', 12, 15),
('2008-1-8', '17:00', '19:30', 7, 13),
('2006-10-24', '19:00', '21:30', 8, 15),
('2005-3-26', '16:00', '18:30', 6, 6),
('2017-9-18', '19:00', '21:30', 15, 3),
('2004-6-17', '17:00', '19:30', 15, 14),
('2003-5-2', '17:00', '19:30', 14, 16),
('2022-10-14', '20:00', '22:30', 11, 1),
('2010-3-19', '19:00', '21:30', 11, 1),
('2012-9-17', '16:00', '18:30', 11, 2),
('2019-9-30', '19:00', '21:30', 8, 10),
('2016-2-27', '18:00', '20:30', 12, 7),
('2006-11-15', '20:00', '22:30', 2, 17),
('2020-7-18', '16:00', '18:30', 13, 12),
('2015-3-16', '18:00', '20:30', 3, 10),
('2011-1-7', '20:00', '22:30', 5, 7),
('2003-7-4', '20:00', '22:30', 7, 13),
('2015-2-5', '20:00', '22:30', 2, 15),
('2019-6-9', '21:00', '23:30', 1, 1),
('2004-9-19', '19:00', '21:30', 12, 1),
('2012-7-22', '18:00', '20:30', 9, 10),
('2012-7-14', '21:00', '23:30', 1, 2),
('2015-7-23', '16:00', '18:30', 14, 14),
('2015-7-5', '19:00', '21:30', 5, 3),
('2009-1-15', '20:00', '22:30', 13, 2),
('2005-12-24', '19:00', '21:30', 13, 15),
('2015-11-16', '21:00', '23:30', 6, 16),
('2010-3-8', '19:00', '21:30', 2, 7),
('2003-9-25', '18:00', '20:30', 13, 6),
('2012-1-29', '18:00', '20:30', 4, 3),
('2004-9-9', '20:00', '22:30', 10, 3),
('2004-10-24', '18:00', '20:30', 7, 17),
('2021-1-28', '16:00', '18:30', 10, 17),
('2022-3-28', '17:00', '19:30', 7, 15),
('2004-8-6', '20:00', '22:30', 15, 9),
('2010-1-21', '19:00', '21:30', 8, 2),
('2014-7-22', '19:00', '21:30', 14, 7),
('2015-5-26', '16:00', '18:30', 15, 1),
('2013-2-10', '16:00', '18:30', 5, 11),
('2009-2-26', '17:00', '19:30', 11, 2),
('2014-11-4', '19:00', '21:30', 5, 3),
('2009-12-30', '20:00', '22:30', 7, 16),
('2004-10-28', '20:00', '22:30', 3, 7),
('2002-11-20', '21:00', '23:30', 4, 13),
('2010-7-8', '19:00', '21:30', 5, 7),
('2017-11-28', '20:00', '22:30', 2, 9),
('2013-1-29', '16:00', '18:30', 15, 15),
('2020-11-23', '16:00', '18:30', 5, 8),
('2019-5-29', '21:00', '23:30', 11, 12),
('2011-7-14', '17:00', '19:30', 15, 10),
('2009-1-30', '21:00', '23:30', 14, 14),
('2013-11-10', '16:00', '18:30', 14, 6),
('2006-4-18', '16:00', '18:30', 14, 3),
('2016-6-6', '19:00', '21:30', 6, 13),
('2006-2-8', '20:00', '22:30', 1, 15),
('2007-2-5', '19:00', '21:30', 13, 4),
('2002-5-29', '20:00', '22:30', 2, 13),
('2007-11-18', '21:00', '23:30', 11, 8),
('2014-2-8', '18:00', '20:30', 3, 6),
('2022-11-1', '20:00', '22:30', 6, 6),
('2015-7-12', '17:00', '19:30', 12, 7),
('2019-7-2', '17:00', '19:30', 15, 1),
('2015-7-19', '20:00', '22:30', 13, 6),
('2021-3-27', '16:00', '18:30', 13, 14),
('2015-5-14', '16:00', '18:30', 15, 14),
('2007-7-20', '19:00', '21:30', 14, 13),
('2015-2-4', '17:00', '19:30', 4, 11),
('2020-10-27', '19:00', '21:30', 2, 4),
('2013-3-10', '17:00', '19:30', 12, 2),
('2004-8-26', '21:00', '23:30', 14, 11),
('2019-6-17', '21:00', '23:30', 3, 6),
('2002-5-20', '17:00', '19:30', 12, 1),
('2005-11-30', '18:00', '20:30', 3, 5),
('2016-10-27', '19:00', '21:30', 2, 2),
('2003-9-16', '21:00', '23:30', 7, 15),
('2006-1-27', '16:00', '18:30', 2, 11),
('2020-3-12', '20:00', '22:30', 2, 7),
('2019-4-3', '18:00', '20:30', 3, 13),
('2016-10-3', '16:00', '18:30', 1, 4),
('2003-12-14', '20:00', '22:30', 12, 13),
('2011-8-4', '17:00', '19:30', 14, 12),
('2013-11-28', '16:00', '18:30', 14, 12),
('2022-9-27', '21:00', '23:30', 11, 10),
('2014-11-6', '20:00', '22:30', 10, 16),
('2021-7-19', '17:00', '19:30', 9, 3),
('2016-3-28', '18:00', '20:30', 6, 2),
('2009-8-7', '20:00', '22:30', 2, 1),
('2013-7-9', '18:00', '20:30', 6, 13),
('2016-5-8', '17:00', '19:30', 15, 4),
('2007-6-21', '21:00', '23:30', 12, 14),
('2021-12-18', '17:00', '19:30', 4, 9),
('2002-9-25', '18:00', '20:30', 5, 10),
('2019-8-18', '21:00', '23:30', 6, 17),
('2013-12-16', '16:00', '18:30', 3, 7),
('2020-6-5', '20:00', '22:30', 4, 17),
('2017-10-18', '19:00', '21:30', 1, 10),
('2020-12-29', '17:00', '19:30', 8, 7),
('2018-11-26', '20:00', '22:30', 13, 4),
('2005-11-20', '21:00', '23:30', 4, 16),
('2017-10-15', '20:00', '22:30', 7, 5),
('2013-11-3', '17:00', '19:30', 4, 13),
('2018-5-14', '16:00', '18:30', 3, 17),
('2017-4-17', '20:00', '22:30', 12, 16),
('2009-5-14', '17:00', '19:30', 13, 9),
('2014-4-17', '21:00', '23:30', 9, 10),
('2010-1-16', '16:00', '18:30', 1, 13),
('2019-7-10', '20:00', '22:30', 8, 15),
('2015-7-11', '16:00', '18:30', 12, 17),
('2010-5-23', '20:00', '22:30', 8, 8),
('2005-10-23', '19:00', '21:30', 7, 11),
('2022-9-20', '19:00', '21:30', 3, 10),
('2005-10-23', '17:00', '19:30', 11, 8),
('2002-7-16', '20:00', '22:30', 13, 13),
('2010-11-15', '20:00', '22:30', 6, 5),
('2010-11-9', '17:00', '19:30', 11, 3),
('2016-12-25', '17:00', '19:30', 9, 17),
('2011-9-18', '16:00', '18:30', 7, 9),
('2011-6-14', '19:00', '21:30', 12, 17),
('2002-6-8', '16:00', '18:30', 9, 2),
('2006-10-16', '17:00', '19:30', 3, 15),
('2004-12-20', '16:00', '18:30', 2, 5),
('2018-4-22', '20:00', '22:30', 3, 1),
('2002-6-26', '21:00', '23:30', 9, 10),
('2003-6-3', '19:00', '21:30', 14, 14),
('2014-5-22', '20:00', '22:30', 10, 2),
('2013-3-15', '20:00', '22:30', 10, 2),
('2007-1-30', '17:00', '19:30', 7, 1),
('2005-2-2', '20:00', '22:30', 8, 9),
('2009-2-25', '17:00', '19:30', 2, 15),
('2016-4-1', '16:00', '18:30', 7, 7),
('2021-5-12', '21:00', '23:30', 14, 13),
('2002-8-21', '19:00', '21:30', 14, 7),
('2014-4-3', '21:00', '23:30', 6, 10),
('2022-7-5', '21:00', '23:30', 14, 7),
('2008-3-8', '17:00', '19:30', 10, 1),
('2012-4-18', '17:00', '19:30', 5, 15),
('2021-8-15', '16:00', '18:30', 13, 4),
('2022-9-21', '20:00', '22:30', 7, 2),
('2005-6-29', '20:00', '22:30', 2, 4),
('2019-6-11', '16:00', '18:30', 5, 4),
('2007-4-29', '20:00', '22:30', 6, 13),
('2008-11-16', '16:00', '18:30', 15, 6),
('2020-10-22', '16:00', '18:30', 6, 14),
('2002-12-20', '19:00', '21:30', 4, 12),
('2020-1-25', '18:00', '20:30', 6, 12),
('2006-3-23', '18:00', '20:30', 9, 2),
('2020-4-9', '19:00', '21:30', 1, 17),
('2008-7-6', '17:00', '19:30', 7, 14),
('2010-3-1', '20:00', '22:30', 8, 15),
('2012-4-3', '20:00', '22:30', 10, 7),
('2014-7-28', '20:00', '22:30', 7, 5),
('2019-6-10', '21:00', '23:30', 13, 5),
('2008-8-3', '19:00', '21:30', 14, 3),
('2016-7-11', '18:00', '20:30', 14, 15),
('2022-10-22', '21:00', '23:30', 13, 16),
('2013-6-4', '17:00', '19:30', 1, 16),
('2018-4-22', '19:00', '21:30', 1, 16),
('2006-11-20', '20:00', '22:30', 10, 12),
('2004-2-10', '21:00', '23:30', 13, 7),
('2018-8-16', '20:00', '22:30', 11, 3),
('2017-4-22', '21:00', '23:30', 15, 9),
('2010-1-10', '20:00', '22:30', 1, 5),
('2019-4-19', '21:00', '23:30', 3, 11),
('2021-7-22', '20:00', '22:30', 5, 15),
('2011-1-21', '18:00', '20:30', 8, 16),
('2017-8-4', '17:00', '19:30', 11, 1),
('2007-10-21', '16:00', '18:30', 15, 1),
('2005-4-15', '19:00', '21:30', 14, 10),
('2004-10-9', '19:00', '21:30', 15, 7),
('2020-7-13', '17:00', '19:30', 9, 9),
('2020-11-3', '18:00', '20:30', 6, 14),
('2011-11-29', '20:00', '22:30', 12, 3),
('2002-12-2', '21:00', '23:30', 13, 11),
('2008-6-5', '20:00', '22:30', 3, 9),
('2008-4-24', '19:00', '21:30', 10, 5),
('2008-12-13', '17:00', '19:30', 3, 7),
('2008-12-28', '21:00', '23:30', 1, 11),
('2011-12-26', '18:00', '20:30', 4, 2),
('2016-7-15', '17:00', '19:30', 5, 16),
('2011-3-14', '21:00', '23:30', 13, 12),
('2002-3-24', '18:00', '20:30', 3, 3),
('2008-2-12', '17:00', '19:30', 5, 5),
('2004-3-19', '20:00', '22:30', 14, 13),
('2014-9-16', '19:00', '21:30', 2, 9),
('2015-7-28', '17:00', '19:30', 8, 4),
('2016-4-1', '18:00', '20:30', 4, 2),
('2016-2-17', '16:00', '18:30', 11, 5),
('2006-5-2', '17:00', '19:30', 1, 1),
('2017-5-19', '18:00', '20:30', 14, 9),
('2012-12-4', '16:00', '18:30', 8, 4),
('2006-8-30', '17:00', '19:30', 13, 13),
('2008-4-7', '17:00', '19:30', 9, 7),
('2015-5-24', '21:00', '23:30', 6, 15),
('2018-7-24', '17:00', '19:30', 12, 2),
('2006-1-4', '19:00', '21:30', 6, 14),
('2005-9-18', '18:00', '20:30', 12, 12),
('2022-2-23', '20:00', '22:30', 6, 13),
('2017-2-25', '21:00', '23:30', 12, 7),
('2014-7-29', '19:00', '21:30', 11, 1),
('2021-8-16', '19:00', '21:30', 14, 16),
('2002-11-27', '17:00', '19:30', 9, 5),
('2014-8-15', '21:00', '23:30', 15, 14),
('2011-4-3', '20:00', '22:30', 1, 16),
('2008-2-8', '18:00', '20:30', 6, 8),
('2004-10-17', '21:00', '23:30', 5, 4),
('2016-8-11', '19:00', '21:30', 4, 12),
('2006-7-17', '16:00', '18:30', 4, 14),
('2007-5-19', '18:00', '20:30', 14, 16),
('2008-7-18', '20:00', '22:30', 3, 1),
('2002-6-27', '16:00', '18:30', 14, 16),
('2003-3-15', '16:00', '18:30', 14, 10),
('2015-10-16', '21:00', '23:30', 9, 1),
('2014-11-2', '17:00', '19:30', 8, 9),
('2006-5-24', '21:00', '23:30', 14, 17),
('2022-12-13', '21:00', '23:30', 3, 11),
('2006-6-4', '21:00', '23:30', 11, 8),
('2022-5-22', '16:00', '18:30', 7, 4),
('2014-1-18', '17:00', '19:30', 10, 10),
('2015-8-11', '17:00', '19:30', 9, 4),
('2009-6-22', '17:00', '19:30', 4, 10),
('2003-1-4', '18:00', '20:30', 8, 3),
('2022-9-5', '19:00', '21:30', 3, 16),
('2005-1-22', '16:00', '18:30', 8, 10),
('2008-10-20', '17:00', '19:30', 1, 16),
('2008-11-29', '16:00', '18:30', 10, 12),
('2007-11-23', '19:00', '21:30', 2, 13),
('2006-2-11', '16:00', '18:30', 9, 2),
('2018-4-8', '19:00', '21:30', 2, 7),
('2010-8-6', '20:00', '22:30', 12, 8),
('2011-2-11', '19:00', '21:30', 2, 3),
('2020-5-16', '16:00', '18:30', 10, 1),
('2014-8-1', '21:00', '23:30', 1, 7),
('2009-10-9', '16:00', '18:30', 2, 12),
('2012-9-22', '21:00', '23:30', 4, 16),
('2002-5-7', '19:00', '21:30', 9, 14),
('2002-5-16', '17:00', '19:30', 8, 11),
('2012-11-14', '21:00', '23:30', 7, 12),
('2022-6-4', '17:00', '19:30', 8, 6),
('2016-11-25', '21:00', '23:30', 7, 12),
('2003-5-13', '20:00', '22:30', 7, 16),
('2005-3-2', '19:00', '21:30', 5, 13),
('2005-8-3', '16:00', '18:30', 1, 17),
('2006-10-5', '21:00', '23:30', 10, 14),
('2018-3-30', '19:00', '21:30', 12, 1),
('2010-5-1', '18:00', '20:30', 4, 8),
('2020-3-9', '19:00', '21:30', 4, 15),
('2016-10-24', '18:00', '20:30', 14, 17),
('2003-9-21', '16:00', '18:30', 10, 11),
('2006-4-3', '20:00', '22:30', 9, 11),
('2022-8-12', '19:00', '21:30', 4, 5),
('2021-11-22', '19:00', '21:30', 6, 10),
('2014-4-2', '17:00', '19:30', 2, 8),
('2011-2-28', '16:00', '18:30', 13, 2),
('2003-3-30', '18:00', '20:30', 9, 14),
('2018-11-6', '21:00', '23:30', 13, 7),
('2009-3-20', '21:00', '23:30', 9, 10),
('2014-2-4', '16:00', '18:30', 15, 5),
('2016-10-23', '18:00', '20:30', 2, 11),
('2021-12-7', '16:00', '18:30', 11, 2),
('2007-8-2', '17:00', '19:30', 6, 17),
('2017-1-20', '21:00', '23:30', 7, 1),
('2005-12-11', '17:00', '19:30', 4, 2),
('2005-6-23', '19:00', '21:30', 15, 14),
('2011-10-29', '21:00', '23:30', 4, 12),
('2012-8-23', '21:00', '23:30', 9, 14),
('2012-12-24', '20:00', '22:30', 11, 7),
('2005-8-25', '19:00', '21:30', 1, 6),
('2013-10-8', '20:00', '22:30', 6, 11),
('2004-2-22', '16:00', '18:30', 14, 6),
('2013-12-3', '19:00', '21:30', 7, 5),
('2011-9-5', '21:00', '23:30', 3, 9),
('2013-3-2', '21:00', '23:30', 10, 14),
('2002-10-27', '18:00', '20:30', 5, 4),
('2010-8-7', '17:00', '19:30', 10, 13),
('2007-4-19', '20:00', '22:30', 1, 6),
('2008-1-18', '20:00', '22:30', 14, 2),
('2010-10-10', '21:00', '23:30', 12, 8),
('2011-10-11', '19:00', '21:30', 11, 16),
('2011-7-26', '17:00', '19:30', 12, 5),
('2016-9-27', '18:00', '20:30', 6, 14),
('2017-12-25', '21:00', '23:30', 2, 11),
('2022-2-13', '17:00', '19:30', 15, 7),
('2003-5-24', '20:00', '22:30', 13, 12),
('2018-3-27', '20:00', '22:30', 13, 10),
('2019-11-19', '18:00', '20:30', 5, 6),
('2004-4-14', '19:00', '21:30', 6, 17),
('2005-12-18', '21:00', '23:30', 14, 14),
('2018-1-21', '20:00', '22:30', 4, 17),
('2015-10-16', '19:00', '21:30', 2, 9),
('2011-9-18', '20:00', '22:30', 10, 13),
