('2019-7-5', '17:00', '19:30', 14, 11),
('2016-12-23', '17:00', '19:30', 4, 6),
('2003-7-25', '18:00', '20:30', 13, 6),
('2007-10-12', '17:00', '19:30', 5, 8),
('2012-3-17', '20:00', '22:30', 8, 10),
('2016-11-23', '20:00', '22:30', 3, 10),
('2013-7-26', '16:00', '18:30', 6, 12),
('2007-4-9', '17:00', '19:30', 15, 4),
('2003-4-30', '16:00', '18:30', 10, 7),
('2002-11-1', '16:00', '18:30', 12, 3),
('2010-1-22', '20:00', '22:30', 12, 4),
('2004-1-8', '21:00', '23:30', 12, 10),
('2013-4-19', '17:00', '19:30', 11, 7),
('2014-10-10', '17:00', '19:30', 2, 15),
('2015-11-27', '16:00', '18:30', 12, 7),
('2019-6-23', '20:00', '22:30', 14, 7),
('2013-5-8', '16:00', '18:30', 10, 11),
('2008-8-22', '21:00', '23:30', 5, 7),
('2016-9-14', '19:00', '21:30', 14, 14),
('2022-10-18', '17:00', '19:30', 15, 2),
('2018-10-11', '21:00', '23:30', 2, 17),
('2007-5-14', '20:00', '22:30', 9, 6),
('2004-5-19', '19:00', '21:30', 13, 4),
('2010-4-8', '21:00', '23:30', 1, 10),
('2013-8-12', '21:00', '23:30', 7, 17),
('2010-10-6', '19:00', '21:30', 14, 16),
('2011-11-3', '17:00', '19:30', 15, 5),
('2002-1-22', '20:00', '22:30', 1, 8),
('2002-3-6', '17:00', '19:30', 1, 6),
('2016-11-30', '16:00', '18:30', 11, 15),
('2004-8-29', '21:00', '23:30', 1, 7),
('2009-5-15', '20:00', '22:30', 10, 1),
('2012-1-17', '21:00', '23:30', 2, 7),
('2003-7-16', '18:00', '20:30', 6, 15),
('2009-6-26', '17:00', '19:30', 11, 10),
('2006-9-25', '18:00', '20:30', 9, 11),
('2020-6-15', '19:00', '21:30', 13, 4),
('2012-12-23', '21:00', '23:30', 13, 3),
('2008-4-3', '18:00', '20:30', 4, 12),
('2004-10-19', '16:00', '18:30', 3, 16),
('2016-11-29', '17:00', '19:30', 14, 14),
('2019-3-24', '20:00', '22:30', 7, 11),
('2013-4-17', '20:00', '22:30', 1, 16),
('2002-6-19', '18:00', '20:30', 1, 14),
('2021-7-2', '18:00', '20:30', 9, 9),
('2016-9-26', '16:00', '18:30', 6, 5),
('2019-7-7', '18:00', '20:30', 3, 13),
('2004-3-15', '19:00', '21:30', 11, 2),
('2003-2-7', '16:00', '18:30', 3, 6),
('2015-4-18', '20:00', '22:30', 8, 13),
('2016-9-3', '20:00', '22:30', 12, 3),
('2005-12-6', '20:00', '22:30', 9, 14),
('2019-10-30', '17:00', '19:30', 1, 7),
('2004-11-3', '21:00', '23:30', 2, 15),
('2014-3-19', '17:00', '19:30', 2, 12),
('2016-9-29', '16:00', '18:30', 8, 14),
('2017-10-25', '20:00', '22:30', 3, 1),
('2010-6-27', '17:00', '19:30', 6, 2),
('2007-1-2', '21:00', '23:30', 9, 16),
('2017-3-7', '20:00', '22:30', 8, 11),
('2011-2-27', '17:00', '19:30', 4, 1),
('2004-10-11', '18:00', '20:30', 3, 15),
('2006-7-3', '17:00', '19:30', 15, 7),
('2017-9-16', '17:00', '19:30', 12, 10),
('2011-11-8', '19:00', '21:30', 1, 3),
('2014-11-10', '19:00', '21:30', 15, 1),
('2002-6-16', '20:00', '22:30', 12, 15),
('2013-5-8', '18:00', '20:30', 11, 7),
('2006-5-22', '16:00', '18:30', 15, 17),
('2010-10-10', '16:00', '18:30', 1, 15),
('2020-4-3', '16:00', '18:30', 13, 7),
('2002-1-15', '21:00', '23:30', 1, 13),
('2009-2-3', '17:00', '19:30', 6, 15),
('2011-11-15', '18:00', '20:30', 13, 4),
('2019-12-5', '16:00', '18:30', 1, 15),
('2014-5-10', '21:00', '23:30', 6, 5),
('2020-7-1', '16:00', '18:30', 15, 12),
('2022-11-19', '17:00', '19:30', 15, 6),
('2018-8-18', '21:00', '23:30', 2, 6),
('2003-7-29', '16:00', '18:30', 11, 8),
('2016-7-1', '18:00', '20:30', 7, 17),
('2002-11-21', '21:00', '23:30', 7, 13),
('2006-7-26', '16:00', '18:30', 1, 13),
('2020-10-23', '21:00', '23:30', 4, 10),
('2009-6-26', '21:00', '23:30', 4, 9),
('2014-7-24', '21:00', '23:30', 6, 10),
('2009-9-14', '20:00', '22:30', 14, 16),
('2008-10-5', '21:00', '23:30', 11, 2),
('2016-1-13', '19:00', '21:30', 4, 3),
('2014-2-8', '19:00', '21:30', 15, 4),
('2014-10-25', '19:00', '21:30', 2, 10),
('2021-5-2', '16:00', '18:30', 4, 12),
('2006-6-6', '18:00', '20:30', 6, 15),
('2016-12-18', '21:00', '23:30', 10, 16),
('2010-3-3', '19:00', '21:30', 9, 3),
('2019-10-15', '16:00', '18:30', 10, 1),
('2015-1-22', '18:00', '20:30', 3, 11),
('2007-12-12', '16:00', '18:30', 1, 10),
('2016-8-15', '19:00', '21:30', 5, 10),
('2007-3-19', '16:00', '18:30', 11, 12),
('2009-4-11', '18:00', '20:30', 3, 17),
('2010-4-18', '19:00', '21:30', 9, 7),
('2018-8-19', '18:00', '20:30', 13, 5),
('2019-5-19', '16:00', '18:30', 10, 8),
('2018-3-3', '18:00', '20:30', 2, 16),
('2019-8-12', '21:00', '23:30', 13, 17),
('2007-9-8', '19:00', '21:30', 4, 14),
('2022-3-5', '21:00', '23:30', 5, 3),
('2021-12-5', '16:00', '18:30', 3, 14),
('2013-3-14', '18:00', '20:30', 9, 6),
('2019-1-23', '17:00', '19:30', 5, 5),
('2020-2-11', '17:00', '19:30', 9, 11),
('2009-7-7', '18:00', '20:30', 2, 5),
('2004-7-17', '20:00', '22:30', 14, 3),
('2014-1-29', '21:00', '23:30', 14, 17),
('2006-9-22', '19:00', '21:30', 9, 6),
('2012-12-10', '21:00', '23:30', 9, 7),
('2002-6-14', '20:00', '22:30', 9, 16),
('2002-7-19', '21:00', '23:30', 2, 1),
('2007-9-7', '21:00', '23:30', 7, 13),
('2019-11-29', '18:00', '20:30', 3, 1),
('2011-4-12', '18:00', '20:30', 10, 6),
('2006-6-22', '18:00', '20:30', 10, 5),
('2008-7-8', '20:00', '22:30', 15, 4),
('2008-2-25', '16:00', '18:30', 7, 2),
('2018-12-14', '20:00', '22:30', 6, 16),
('2005-5-29', '20:00', '22:30', 6, 1),
('2017-8-9', '21:00', '23:30', 9, 14),
('2021-4-19', '19:00', '21:30', 13, 13),
('2006-2-8', '21:00', '23:30', 4, 13),
('2015-8-22', '21:00', '23:30', 13, 2),
('2009-10-8', '21:00', '23:30', 11, 1),
('2007-2-24', '19:00', '21:30', 6, 16),
('2012-6-28', '18:00', '20:30', 10, 5),
('2021-4-27', '19:00', '21:30', 6, 12),
('2012-1-11', '19:00', '21:30', 5, 5),
('2009-7-11', '18:00', '20:30', 15, 12),
('2008-9-17', '21:00', '23:30', 4, 7),
('2019-4-7', '21:00', '23:30', 13, 6),
('2019-12-20', '19:00', '21:30', 4, 15),
('2020-1-30', '17:00', '19:30', 1, 10),
('2009-3-19', '18:00', '20:30', 12, 10),
('2009-2-22', '20:00', '22:30', 1, 15),
('2002-1-16', '18:00', '20:30', 6, 8),
('2006-9-18', '21:00', '23:30', 7, 3),
('2015-7-30', '20:00', '22:30', 10, 3),
('2020-3-4', '16:00', '18:30', 10, 15),
('2015-5-25', '18:00', '20:30', 5, 15),
('2015-3-27', '17:00', '19:30', 4, 10),
('2003-10-2', '21:00', '23:30', 4, 7),
('2016-2-9', '19:00', '21:30', 7, 9),
('2019-9-8', '19:00', '21:30', 14, 15),
('2010-11-3', '21:00', '23:30', 6, 10),
('2019-6-15', '17:00', '19:30', 3, 14),
('2018-10-14', '20:00', '22:30', 14, 11),
('2005-10-19', '18:00', '20:30', 3, 11),
('2002-2-5', '18:00', '20:30', 12, 3),
('2020-3-9', '19:00', '21:30', 13, 15),
('2014-10-6', '21:00', '23:30', 9, 5),
('2014-4-24', '18:00', '20:30', 11, 2),
('2016-11-6', '21:00', '23:30', 12, 2),
('2009-7-17', '16:00', '18:30', 2, 16),
('2014-7-18', '18:00', '20:30', 3, 12),
('2003-11-6', '21:00', '23:30', 14, 10),
('2008-7-19', '17:00', '19:30', 11, 10),
('2002-10-8', '17:00', '19:30', 13, 2),
('2004-11-2', '20:00', '22:30', 13, 17),
('2019-2-27', '16:00', '18:30', 12, 8),
('2006-2-4', '17:00', '19:30', 5, 8),
('2010-11-3', '17:00', '19:30', 14, 15),
('2017-9-14', '21:00', '23:30', 6, 12),
('2006-10-29', '21:00', '23:30', 3, 17),
('2004-9-24', '20:00', '22:30', 15, 8),
('2011-4-2', '21:00', '23:30', 4, 10),
('2008-10-6', '18:00', '20:30', 8, 2),
('2016-4-11', '17:00', '19:30', 6, 13),
('2012-7-14', '21:00', '23:30', 8, 4),
('2014-4-9', '20:00', '22:30', 13, 8),
('2010-6-18', '18:00', '20:30', 6, 8),
('2022-3-17', '18:00', '20:30', 1, 15),
('2010-11-12', '17:00', '19:30', 15, 17),
('2012-5-12', '17:00', '19:30', 7, 2),
('2017-2-11', '19:00', '21:30', 7, 12),
('2021-10-27', '16:00', '18:30', 10, 14),
('2015-6-29', '18:00', '20:30', 6, 11),
('2021-6-4', '19:00', '21:30', 7, 1),
('2018-11-22', '17:00', '19:30', 10, 9),
('2013-8-23', '18:00', '20:30', 5, 2),
('2017-8-19', '18:00', '20:30', 10, 9),
('2004-1-14', '20:00', '22:30', 9, 16),
('2004-1-30', '20:00', '22:30', 11, 12),
('2019-5-22', '16:00', '18:30', 12, 14),
('2022-5-2', '16:00', '18:30', 13, 9),
('2010-2-5', '20:00', '22:30', 7, 15),
('2017-2-28', '18:00', '20:30', 1, 7),
('2004-5-26', '19:00', '21:30', 4, 10),
('2021-5-4', '17:00', '19:30', 10, 11),
('2006-12-26', '17:00', '19:30', 10, 8),
('2005-11-18', '18:00', '20:30', 15, 7),
('2003-4-4', '16:00', '18:30', 9, 13),
('2007-4-14', '19:00', '21:30', 13, 9),
('2020-11-19', '18:00', '20:30', 3, 3),
('2005-2-18', '16:00', '18:30', 1, 6),
('2016-9-9', '16:00', '18:30', 13, 14),
('2021-9-27', '19:00', '21:30', 4, 16),
('2011-10-7', '16:00', '18:30', 10, 12),
('2018-5-26', '21:00', '23:30', 14, 16),
('2022-2-5', '17:00', '19:30', 14, 14),
('2006-11-2', '21:00', '23:30', 13, 15),
('2015-9-30', '21:00', '23:30', 1, 13),
('2017-7-3', '21:00', '23:30', 5, 10),
('2014-3-2', '20:00', '22:30', 4, 14),
('2022-5-19', '16:00', '18:30', 6, 2),
('2016-11-22', '19:00', '21:30', 9, 4),
('2014-12-9', '17:00', '19:30', 9, 6),
('2022-7-23', '19:00', '21:30', 7, 1),
('2006-12-9', '17:00', '19:30', 5, 17),
('2007-10-14', '17:00', '19:30', 7, 14),
('2015-1-6', '20:00', '22:30', 8, 16),
('2016-11-7', '19:00', '21:30', 1, 10),
('2014-11-24', '20:00', '22:30', 4, 2),
('2002-9-24', '21:00', '23:30', 10, 4),
('2022-4-12', '19:00', '21:30', 3, 9),
('2004-5-9', '16:00', '18:30', 12, 2),
('2022-2-25', '16:00', '18:30', 15, 14),
('2013-4-17', '16:00', '18:30', 5, 6),
('2022-2-23', '19:00', '21:30', 2, 5),
('2021-2-11', '20:00', '22:30', 4, 4),
('2013-10-10', '16:00', '18:30', 4, 13),
('2017-8-7', '17:00', '19:30', 4, 14),
('2009-3-13', '17:00', '19:30', 12, 13),
('2019-4-27', '20:00', '22:30', 12, 3),
('2022-11-27', '21:00', '23:30', 2, 11),
('2015-10-27', '20:00', '22:30', 1, 3),
('2006-2-18', '16:00', '18:30', 6, 11),
('2020-9-18', '18:00', '20:30', 9, 11),
('2014-11-3', '16:00', '18:30', 12, 9),
('2005-3-23', '18:00', '20:30', 1, 15),
('2012-11-21', '18:00', '20:30', 5, 2),
('2013-11-7', '21:00', '23:30', 1, 2),
('2003-6-7', '16:00', '18:30', 8, 12),
('2011-1-5', '20:00', '22:30', 12, 4),
('2018-10-21', '20:00', '22:30', 15, 13),
('2021-11-23', '19:00', '21:30', 5, 8),
('2007-5-5', '19:00', '21:30', 5, 16),
('2019-4-15', '21:00', '23:30', 8, 11),
('2017-9-10', '17:00', '19:30', 2, 7),
('2007-2-24', '16:00', '18:30', 8, 14),
('2007-9-20', '18:00', '20:30', 5, 6),
('2012-10-16', '16:00', '18:30', 2, 14),
('2004-6-17', '17:00', '19:30', 13, 1),
('2016-7-23', '19:00', '21:30', 6, 3),
('2019-12-26', '21:00', '23:30', 14, 9),
('2008-5-17', '17:00', '19:30', 1, 5),
('2018-2-14', '18:00', '20:30', 7, 12),
('2010-6-20', '16:00', '18:30', 8, 1),
('2013-11-16', '16:00', '18:30', 8, 10),
('2004-8-19', '17:00', '19:30', 10, 9),
('2012-10-5', '16:00', '18:30', 2, 17),
('2005-3-10', '21:00', '23:30', 4, 8),
('2015-7-18', '21:00', '23:30', 7, 7),
('2015-12-25', '20:00', '22:30', 10, 16),
('2006-5-20', '21:00', '23:30', 15, 6),
('2015-1-21', '18:00', '20:30', 14, 8),
('2019-11-1', '21:00', '23:30', 1, 15),
('2005-2-7', '21:00', '23:30', 7, 4),
('2010-3-10', '17:00', '19:30', 1, 8),
('2018-11-3', '21:00', '23:30', 7, 1),
('2013-2-28', '17:00', '19:30', 14, 11),
('2014-8-11', '20:00', '22:30', 4, 13),
('2018-11-15', '17:00', '19:30', 3, 8),
('2010-7-30', '18:00', '20:30', 2, 17),
('2021-3-13', '18:00', '20:30', 10, 15),
('2005-3-11', '21:00', '23:30', 7, 8),
('2006-7-18', '16:00', '18:30', 13, 11),
('2017-9-24', '16:00', '18:30', 1, 16),
('2009-2-9', '17:00', '19:30', 14, 11),
('2009-10-9', '21:00', '23:30', 11, 12),
('2017-11-7', '20:00', '22:30', 11, 3),
('2015-2-10', '21:00', '23:30', 10, 8),
('2002-8-23', '19:00', '21:30', 4, 13),
('2022-11-23', '18:00', '20:30', 8, 1),
('2015-3-15', '17:00', '19:30', 1, 10),
('2012-1-24', '18:00', '20:30', 4, 12),
('2011-6-18', '18:00', '20:30', 8, 9),
('2021-8-1', '20:00', '22:30', 3, 8),
('2011-10-19', '19:00', '21:30', 12, 14),
('2011-7-30', '19:00', '21:30', 8, 2),
('2008-7-22', '18:00', '20:30', 14, 4),
('2018-6-2', '21:00', '23:30', 5, 12),
('2010-7-22', '17:00', '19:30', 2, 5),
('2019-1-4', '19:00', '21:30', 9, 15),
('2019-7-2', '17:00', '19:30', 4, 15),
('2003-11-18', '19:00', '21:30', 6, 17),
('2003-7-21', '16:00', '18:30', 2, 17),
('2020-3-1', '18:00', '20:30', 1, 10),
('2012-12-2', '19:00', '21:30', 6, 2),
('2021-8-10', '20:00', '22:30', 5, 2),
('2022-6-4', '18:00', '20:30', 2, 14),
('2015-4-14', '21:00', '23:30', 15, 5),
('2018-1-27', '16:00', '18:30', 10, 4),
('2003-8-21', '16:00', '18:30', 8, 4),
('2018-1-19', '16:00', '18:30', 15, 4),
('2014-1-7', '16:00', '18:30', 7, 11),
('2016-10-23', '16:00', '18:30', 3, 6),
('2022-4-26', '16:00', '18:30', 10, 9),
('2013-6-2', '18:00', '20:30', 12, 10),
('2015-5-29', '19:00', '21:30', 6, 1),
('2012-2-7', '17:00', '19:30', 13, 15),
('2013-10-30', '16:00', '18:30', 10, 9),
('2016-11-14', '18:00', '20:30', 12, 5),
('2010-5-24', '21:00', '23:30', 13, 14),
('2015-3-28', '16:00', '18:30', 10, 15),
('2002-7-3', '16:00', '18:30', 8, 13),
('2015-8-2', '17:00', '19:30', 3, 11),
('2013-11-28', '16:00', '18:30', 13, 3),
('2004-8-8', '16:00', '18:30', 15, 10),
('2003-10-29', '21:00', '23:30', 15, 15),
('2009-10-11', '16:00', '18:30', 8, 2),
('2009-11-3', '21:00', '23:30', 7, 13),
('2005-12-5', '20:00', '22:30', 3, 5),
('2014-11-6', '16:00', '18:30', 10, 1),
('2005-12-18', '18:00', '20:30', 15, 13),
('2003-2-13', '19:00', '21:30', 2, 9),
('2010-11-25', '19:00', '21:30', 11, 4),
('2021-10-12', '21:00', '23:30', 14, 12),
('2012-4-23', '19:00', '21:30', 11, 5),
('2007-3-5', '20:00', '22:30', 9, 13),
('2014-1-29', '18:00', '20:30', 6, 3),
('2014-1-12', '20:00', '22:30', 12, 16),
('2019-6-11', '21:00', '23:30', 3, 3),
('2003-8-17', '19:00', '21:30', 10, 6),
('2009-6-29', '17:00', '19:30', 11, 11),
('2008-12-16', '19:00', '21:30', 1, 17),
('2005-11-29', '16:00', '18:30', 12, 8),
('2006-11-24', '16:00', '18:30', 2, 9),
('2020-6-26', '16:00', '18:30', 9, 9),
('2009-7-4', '19:00', '21:30', 9, 11),
('2019-2-28', '16:00', '18:30', 15, 6),
('2010-1-26', '20:00', '22:30', 5, 4),
('2013-7-21', '17:00', '19:30', 13, 11),
('2015-6-12', '20:00', '22:30', 9, 5),
('2022-2-27', '17:00', '19:30', 4, 17),
