('2019-7-5', 30.00, 'Prenotato', 'B', 7, 14, 1),
('2017-12-19', 32.00, 'Botteghino', 'A', 6, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'F', 8, 13, 4),
('2017-12-19', 32.00, 'Online', 'A', 1, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'E', 1, 13, 4),
('2017-12-19', 32.00, 'Online', 'B', 1, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'B', 4, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'E', 9, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'E', 6, 13, 4),
('2017-12-19', 32.00, 'Online', 'B', 1, 13, 4),
('2017-12-19', 32.00, 'Online', 'A', 4, 13, 4),
('2017-12-19', 32.00, 'Online', 'B', 8, 13, 4),
('2017-12-19', 32.00, 'Online', 'C', 1, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'E', 8, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'F', 9, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'E', 7, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'B', 4, 13, 4),
('2015-7-17', 47.00, 'Botteghino', 'D', 6, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'B', 4, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'F', 5, 13, 5),
('2015-7-17', 47.00, 'Online', 'D', 1, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'F', 3, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'E', 9, 13, 5),
('2015-7-17', 47.00, 'Online', 'C', 2, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'A', 7, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'A', 4, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'B', 4, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'B', 8, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'C', 3, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'D', 2, 13, 5),
('2015-7-17', 47.00, 'Prenotato', 'C', 4, 13, 5),
('2015-7-17', 47.00, 'Online', 'D', 7, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'B', 4, 13, 5),
('2015-7-17', 47.00, 'Online', 'C', 4, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'F', 3, 13, 5),
('2015-7-17', 47.00, 'Botteghino', 'F', 8, 13, 5),
('2015-7-17', 47.00, 'Online', 'A', 7, 13, 5),
('2019-1-7', 32.00, 'Prenotato', 'E', 2, 12, 6),
('2019-1-7', 32.00, 'Online', 'F', 7, 12, 6),
('2019-1-7', 32.00, 'Online', 'D', 1, 12, 6),
('2019-1-7', 32.00, 'Online', 'C', 6, 12, 6),
('2019-1-7', 32.00, 'Prenotato', 'F', 3, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'D', 4, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'A', 4, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'A', 4, 12, 6),
('2019-1-7', 32.00, 'Online', 'C', 8, 12, 6),
('2019-1-7', 32.00, 'Online', 'F', 6, 12, 6),
('2019-1-7', 32.00, 'Prenotato', 'D', 3, 12, 6),
('2019-1-7', 32.00, 'Prenotato', 'A', 7, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'E', 2, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'E', 4, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'F', 7, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'F', 9, 12, 6),
('2019-1-7', 32.00, 'Prenotato', 'F', 3, 12, 6),
('2019-1-7', 32.00, 'Online', 'B', 6, 12, 6),
('2019-1-7', 32.00, 'Botteghino', 'F', 1, 12, 6),
('2019-1-7', 32.00, 'Prenotato', 'C', 2, 12, 6),
('2010-9-20', 44.00, 'Online', 'C', 9, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'B', 7, 2, 7),
('2010-9-20', 44.00, 'Online', 'D', 4, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'C', 1, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'D', 6, 2, 7),
('2010-9-20', 44.00, 'Online', 'E', 8, 2, 7),
('2010-9-20', 44.00, 'Online', 'A', 4, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'B', 2, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'E', 5, 2, 7),
('2010-9-20', 44.00, 'Online', 'D', 7, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'E', 5, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'F', 4, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'C', 7, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'E', 6, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'D', 6, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'C', 4, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'A', 2, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'D', 5, 2, 7),
('2010-9-20', 44.00, 'Prenotato', 'E', 5, 2, 7),
('2010-9-20', 44.00, 'Botteghino', 'F', 7, 2, 7),
('2014-10-22', 32.00, 'Online', 'B', 9, 15, 8),
('2014-10-22', 32.00, 'Prenotato', 'E', 4, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'F', 6, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'E', 3, 15, 8),
('2014-10-22', 32.00, 'Online', 'D', 3, 15, 8),
('2014-10-22', 32.00, 'Online', 'F', 5, 15, 8),
('2014-10-22', 32.00, 'Online', 'D', 8, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'B', 5, 15, 8),
('2014-10-22', 32.00, 'Prenotato', 'B', 8, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'E', 1, 15, 8),
('2014-10-22', 32.00, 'Online', 'C', 2, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'B', 7, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'E', 4, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'B', 8, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'A', 3, 15, 8),
('2014-10-22', 32.00, 'Prenotato', 'D', 5, 15, 8),
('2014-10-22', 32.00, 'Online', 'B', 1, 15, 8),
('2014-10-22', 32.00, 'Online', 'E', 9, 15, 8),
('2014-10-22', 32.00, 'Botteghino', 'D', 5, 15, 8),
('2014-10-22', 32.00, 'Prenotato', 'D', 6, 15, 8),
('2011-11-18', 50.00, 'Botteghino', 'E', 2, 3, 9),
('2011-11-18', 50.00, 'Online', 'B', 6, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'D', 9, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'D', 8, 3, 9),
('2011-11-18', 50.00, 'Online', 'E', 3, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'F', 2, 3, 9),
('2011-11-18', 50.00, 'Online', 'D', 6, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'F', 4, 3, 9),
('2011-11-18', 50.00, 'Online', 'C', 1, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'A', 3, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'A', 8, 3, 9),
('2011-11-18', 50.00, 'Online', 'C', 1, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'E', 4, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'A', 3, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'E', 2, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'D', 3, 3, 9),
('2011-11-18', 50.00, 'Prenotato', 'E', 5, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'E', 5, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'C', 6, 3, 9),
('2011-11-18', 50.00, 'Botteghino', 'D', 2, 3, 9),
('2017-5-11', 39.00, 'Online', 'F', 7, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'C', 7, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'E', 4, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'C', 9, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'F', 7, 10, 10),
('2017-5-11', 39.00, 'Online', 'A', 9, 10, 10),
('2017-5-11', 39.00, 'Online', 'F', 6, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'D', 5, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'E', 2, 10, 10),
('2017-5-11', 39.00, 'Online', 'A', 5, 10, 10),
('2017-5-11', 39.00, 'Online', 'A', 9, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'E', 5, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'B', 9, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'A', 9, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'D', 9, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'C', 5, 10, 10),
('2017-5-11', 39.00, 'Prenotato', 'F', 3, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'E', 5, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'F', 2, 10, 10),
('2017-5-11', 39.00, 'Botteghino', 'D', 8, 10, 10),
('2009-11-6', 37.00, 'Prenotato', 'A', 6, 15, 11),
('2009-11-6', 37.00, 'Online', 'D', 7, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'D', 3, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'B', 4, 15, 11),
('2009-11-6', 37.00, 'Online', 'E', 1, 15, 11),
('2009-11-6', 37.00, 'Botteghino', 'A', 7, 15, 11),
('2009-11-6', 37.00, 'Online', 'D', 6, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'C', 1, 15, 11),
('2009-11-6', 37.00, 'Botteghino', 'E', 7, 15, 11),
('2009-11-6', 37.00, 'Botteghino', 'B', 1, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'E', 2, 15, 11),
('2009-11-6', 37.00, 'Online', 'D', 1, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'F', 4, 15, 11),
('2009-11-6', 37.00, 'Online', 'E', 3, 15, 11),
('2009-11-6', 37.00, 'Online', 'B', 8, 15, 11),
('2009-11-6', 37.00, 'Botteghino', 'B', 3, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'F', 9, 15, 11),
('2009-11-6', 37.00, 'Prenotato', 'E', 9, 15, 11),
('2009-11-6', 37.00, 'Online', 'A', 2, 15, 11),
('2009-11-6', 37.00, 'Online', 'C', 8, 15, 11),
('2009-5-2', 50.00, 'Prenotato', 'A', 8, 8, 12),
('2009-5-2', 50.00, 'Online', 'F', 6, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'B', 9, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'C', 7, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'C', 3, 8, 12),
('2009-5-2', 50.00, 'Online', 'E', 9, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'D', 9, 8, 12),
('2009-5-2', 50.00, 'Online', 'C', 9, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'A', 3, 8, 12),
('2009-5-2', 50.00, 'Online', 'F', 8, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'C', 7, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'E', 2, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'A', 6, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'F', 9, 8, 12),
('2009-5-2', 50.00, 'Online', 'E', 3, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'E', 1, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'B', 8, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'A', 7, 8, 12),
('2009-5-2', 50.00, 'Botteghino', 'B', 7, 8, 12),
('2009-5-2', 50.00, 'Prenotato', 'B', 3, 8, 12),
('2004-6-14', 38.00, 'Online', 'C', 2, 5, 13),
('2004-6-14', 38.00, 'Online', 'C', 4, 5, 13),
('2004-6-14', 38.00, 'Prenotato', 'C', 8, 5, 13),
('2004-6-14', 38.00, 'Prenotato', 'D', 3, 5, 13),
('2004-6-14', 38.00, 'Online', 'F', 1, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'D', 9, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'F', 4, 5, 13),
('2004-6-14', 38.00, 'Online', 'A', 6, 5, 13),
('2004-6-14', 38.00, 'Prenotato', 'C', 4, 5, 13),
('2004-6-14', 38.00, 'Online', 'D', 2, 5, 13),
('2004-6-14', 38.00, 'Online', 'E', 9, 5, 13),
('2004-6-14', 38.00, 'Online', 'D', 5, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'E', 1, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'B', 1, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'C', 9, 5, 13),
('2004-6-14', 38.00, 'Online', 'F', 8, 5, 13),
('2004-6-14', 38.00, 'Prenotato', 'F', 7, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'D', 5, 5, 13),
('2004-6-14', 38.00, 'Prenotato', 'E', 5, 5, 13),
('2004-6-14', 38.00, 'Botteghino', 'B', 9, 5, 13),
('2009-2-27', 45.00, 'Botteghino', 'B', 7, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'B', 4, 4, 14),
('2009-2-27', 45.00, 'Online', 'A', 9, 4, 14),
('2009-2-27', 45.00, 'Online', 'C', 4, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'E', 5, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'C', 7, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'F', 8, 4, 14),
('2009-2-27', 45.00, 'Online', 'A', 9, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'A', 3, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'E', 3, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'E', 5, 4, 14),
('2009-2-27', 45.00, 'Online', 'B', 6, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'D', 6, 4, 14),
('2009-2-27', 45.00, 'Online', 'F', 5, 4, 14),
('2009-2-27', 45.00, 'Online', 'A', 1, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'F', 4, 4, 14),
('2009-2-27', 45.00, 'Online', 'A', 1, 4, 14),
('2009-2-27', 45.00, 'Botteghino', 'E', 9, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'F', 3, 4, 14),
('2009-2-27', 45.00, 'Prenotato', 'F', 4, 4, 14),
('2017-6-27', 44.00, 'Botteghino', 'C', 8, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'E', 9, 12, 15),
('2017-6-27', 44.00, 'Online', 'D', 4, 12, 15),
('2017-6-27', 44.00, 'Prenotato', 'B', 1, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'A', 2, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'A', 9, 12, 15),
('2017-6-27', 44.00, 'Prenotato', 'A', 4, 12, 15),
('2017-6-27', 44.00, 'Online', 'B', 1, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'D', 7, 12, 15),
('2017-6-27', 44.00, 'Online', 'E', 3, 12, 15),
('2017-6-27', 44.00, 'Online', 'E', 1, 12, 15),
('2017-6-27', 44.00, 'Prenotato', 'A', 5, 12, 15),
('2017-6-27', 44.00, 'Online', 'C', 5, 12, 15),
('2017-6-27', 44.00, 'Prenotato', 'F', 5, 12, 15),
('2017-6-27', 44.00, 'Online', 'C', 3, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'D', 2, 12, 15),
('2017-6-27', 44.00, 'Online', 'F', 5, 12, 15),
('2017-6-27', 44.00, 'Botteghino', 'F', 6, 12, 15),
('2017-6-27', 44.00, 'Online', 'F', 8, 12, 15),
('2017-6-27', 44.00, 'Online', 'D', 2, 12, 15),
('2018-3-18', 39.00, 'Botteghino', 'C', 6, 4, 16),
('2018-3-18', 39.00, 'Online', 'C', 6, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'C', 4, 4, 16),
('2018-3-18', 39.00, 'Online', 'A', 5, 4, 16),
('2018-3-18', 39.00, 'Online', 'B', 9, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'A', 1, 4, 16),
('2018-3-18', 39.00, 'Botteghino', 'E', 5, 4, 16),
('2018-3-18', 39.00, 'Online', 'D', 4, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'D', 1, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'A', 2, 4, 16),
('2018-3-18', 39.00, 'Online', 'E', 5, 4, 16),
('2018-3-18', 39.00, 'Botteghino', 'C', 2, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'D', 7, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'B', 9, 4, 16),
('2018-3-18', 39.00, 'Botteghino', 'D', 7, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'F', 5, 4, 16),
('2018-3-18', 39.00, 'Online', 'B', 2, 4, 16),
('2018-3-18', 39.00, 'Botteghino', 'A', 1, 4, 16),
('2018-3-18', 39.00, 'Prenotato', 'B', 4, 4, 16),
('2018-3-18', 39.00, 'Online', 'D', 1, 4, 16),
('2004-10-27', 50.00, 'Botteghino', 'D', 6, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'B', 6, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'F', 7, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'E', 8, 7, 17),
('2004-10-27', 50.00, 'Online', 'D', 3, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'D', 5, 7, 17),
('2004-10-27', 50.00, 'Online', 'D', 9, 7, 17),
('2004-10-27', 50.00, 'Botteghino', 'E', 4, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'F', 6, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'A', 5, 7, 17),
('2004-10-27', 50.00, 'Botteghino', 'B', 2, 7, 17),
('2004-10-27', 50.00, 'Botteghino', 'B', 4, 7, 17),
('2004-10-27', 50.00, 'Botteghino', 'D', 3, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'F', 7, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'E', 3, 7, 17),
('2004-10-27', 50.00, 'Online', 'F', 5, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'E', 9, 7, 17),
('2004-10-27', 50.00, 'Prenotato', 'F', 6, 7, 17),
('2004-10-27', 50.00, 'Botteghino', 'B', 9, 7, 17),
('2004-10-27', 50.00, 'Online', 'A', 9, 7, 17),
('2012-2-18', 43.00, 'Online', 'F', 9, 8, 18),
('2012-2-18', 43.00, 'Botteghino', 'E', 1, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'F', 9, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'E', 7, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'F', 8, 8, 18),
('2012-2-18', 43.00, 'Botteghino', 'D', 6, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'C', 5, 8, 18),
('2012-2-18', 43.00, 'Online', 'F', 6, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'D', 3, 8, 18),
('2012-2-18', 43.00, 'Botteghino', 'A', 1, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'C', 7, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'F', 6, 8, 18),
('2012-2-18', 43.00, 'Botteghino', 'B', 3, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'D', 9, 8, 18),
('2012-2-18', 43.00, 'Prenotato', 'E', 2, 8, 18),
('2012-2-18', 43.00, 'Online', 'F', 2, 8, 18),
('2012-2-18', 43.00, 'Online', 'A', 8, 8, 18),
('2012-2-18', 43.00, 'Botteghino', 'C', 4, 8, 18),
('2012-2-18', 43.00, 'Online', 'E', 7, 8, 18),
('2012-2-18', 43.00, 'Online', 'D', 4, 8, 18),
('2015-2-8', 45.00, 'Prenotato', 'D', 2, 10, 19),
('2015-2-8', 45.00, 'Online', 'B', 5, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'C', 5, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'D', 4, 10, 19),
('2015-2-8', 45.00, 'Online', 'C', 4, 10, 19),
('2015-2-8', 45.00, 'Online', 'D', 4, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'E', 6, 10, 19),
('2015-2-8', 45.00, 'Online', 'C', 8, 10, 19),
('2015-2-8', 45.00, 'Botteghino', 'D', 3, 10, 19),
('2015-2-8', 45.00, 'Online', 'C', 5, 10, 19),
('2015-2-8', 45.00, 'Online', 'A', 6, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'F', 5, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'B', 8, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'E', 6, 10, 19),
('2015-2-8', 45.00, 'Botteghino', 'E', 5, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'E', 8, 10, 19),
('2015-2-8', 45.00, 'Prenotato', 'E', 3, 10, 19),
('2015-2-8', 45.00, 'Botteghino', 'F', 3, 10, 19),
('2015-2-8', 45.00, 'Botteghino', 'D', 4, 10, 19),
('2015-2-8', 45.00, 'Botteghino', 'E', 3, 10, 19),
('2002-7-8', 30.00, 'Botteghino', 'B', 9, 6, 20),
('2002-7-8', 30.00, 'Botteghino', 'F', 2, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'C', 7, 6, 20),
('2002-7-8', 30.00, 'Online', 'E', 1, 6, 20),
('2002-7-8', 30.00, 'Online', 'A', 1, 6, 20),
('2002-7-8', 30.00, 'Botteghino', 'D', 6, 6, 20),
('2002-7-8', 30.00, 'Online', 'A', 9, 6, 20),
('2002-7-8', 30.00, 'Online', 'C', 6, 6, 20),
('2002-7-8', 30.00, 'Online', 'D', 5, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'E', 2, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'A', 6, 6, 20),
('2002-7-8', 30.00, 'Online', 'B', 6, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'F', 1, 6, 20),
('2002-7-8', 30.00, 'Online', 'E', 8, 6, 20),
('2002-7-8', 30.00, 'Online', 'E', 8, 6, 20),
('2002-7-8', 30.00, 'Online', 'A', 5, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'F', 9, 6, 20),
('2002-7-8', 30.00, 'Prenotato', 'D', 8, 6, 20),
('2002-7-8', 30.00, 'Online', 'A', 7, 6, 20),
('2002-7-8', 30.00, 'Botteghino', 'C', 8, 6, 20),
('2014-2-26', 38.00, 'Online', 'C', 5, 10, 21),
('2014-2-26', 38.00, 'Online', 'D', 7, 10, 21),
('2014-2-26', 38.00, 'Online', 'F', 4, 10, 21),
('2014-2-26', 38.00, 'Botteghino', 'C', 1, 10, 21),
('2014-2-26', 38.00, 'Online', 'D', 6, 10, 21),
('2014-2-26', 38.00, 'Prenotato', 'F', 1, 10, 21),
('2014-2-26', 38.00, 'Botteghino', 'F', 6, 10, 21),
('2014-2-26', 38.00, 'Prenotato', 'A', 5, 10, 21),
('2014-2-26', 38.00, 'Prenotato', 'E', 7, 10, 21),
('2014-2-26', 38.00, 'Online', 'C', 2, 10, 21),
