('2022-1-3', 30.00, 'Botteghino', 'F', 4, 6, 238, 'vegeta'),
('2003-4-21', 50.00, 'Botteghino', 'F', 7, 3, 82, 'lorenzo-tecchia'),
('2019-9-22', 43.00, 'Online', 'F', 4, 7, 374, 'bickpenna'),
('2002-6-21', 35.00, 'Prenotato', 'A', 4, 8, 439, 'bickpenna'),
('2002-6-13', 32.00, 'Prenotato', 'F', 1, 5, 378, 'Goku'),
('2013-10-25', 50.00, 'Online', 'C', 7, 9, 14, 'Goku'),
('2022-10-5', 45.00, 'Prenotato', 'A', 6, 7, 464, 'Goku'),
('2020-2-23', 47.00, 'Online', 'B', 6, 7, 102, 'giorgiovanni'),
('2020-5-28', 47.00, 'Botteghino', 'C', 1, 10, 185, 'vegeta'),
('2009-11-1', 46.00, 'Online', 'C', 9, 3, 261, 'Goku'),
('2009-12-5', 48.00, 'Botteghino', 'E', 1, 14, 178, 'vegeta'),
('2013-8-16', 50.00, 'Botteghino', 'B', 1, 3, 48, 'giorgia'),
('2020-1-27', 48.00, 'Prenotato', 'B', 3, 14, 399, 'bickpenna'),
('2013-6-28', 35.00, 'Botteghino', 'D', 5, 3, 32, 'bickpenna'),
('2016-5-22', 31.00, 'Online', 'B', 5, 3, 164, 'giorgia'),
('2003-6-5', 30.00, 'Botteghino', 'B', 1, 12, 139, 'Goku'),
('2012-1-16', 47.00, 'Botteghino', 'C', 2, 15, 254, 'vegeta'),
('2021-5-5', 50.00, 'Online', 'B', 4, 1, 232, 'giorgia'),
('2015-9-14', 42.00, 'Botteghino', 'B', 2, 3, 181, 'giorgiovanni'),
('2010-7-21', 41.00, 'Botteghino', 'F', 9, 9, 163, 'homer'),
('2020-8-3', 48.00, 'Botteghino', 'E', 2, 10, 361, 'vegeta'),
('2007-10-14', 40.00, 'Online', 'A', 9, 15, 52, 'bickpenna'),
('2012-12-22', 49.00, 'Online', 'F', 1, 9, 432, 'Goku'),
('2006-5-13', 40.00, 'Online', 'A', 1, 6, 442, 'lorenzo-tecchia'),
('2013-5-1', 39.00, 'Online', 'C', 7, 6, 496, 'vegeta'),
('2006-12-15', 32.00, 'Botteghino', 'E', 3, 8, 184, 'lorenzo-tecchia'),
('2002-12-24', 39.00, 'Online', 'D', 4, 10, 198, 'bickpenna'),
('2013-5-14', 47.00, 'Botteghino', 'C', 7, 4, 337, 'giorgiovanni'),
('2005-5-4', 44.00, 'Online', 'F', 9, 3, 485, 'vegeta'),
('2008-5-29', 34.00, 'Botteghino', 'E', 3, 7, 364, 'vegeta'),
('2016-10-12', 47.00, 'Online', 'C', 7, 5, 344, 'homer'),
('2020-11-21', 34.00, 'Prenotato', 'A', 7, 13, 61, 'lorenzo-tecchia'),
('2018-7-22', 33.00, 'Online', 'D', 6, 14, 60, 'bickpenna'),
('2018-11-14', 49.00, 'Online', 'E', 1, 6, 386, 'Goku'),
('2014-7-5', 40.00, 'Botteghino', 'A', 7, 4, 100, 'vegeta'),
('2006-5-6', 46.00, 'Online', 'D', 5, 10, 81, 'giorgia'),
('2016-5-16', 47.00, 'Online', 'A', 7, 1, 334, 'bickpenna'),
('2002-1-24', 33.00, 'Prenotato', 'C', 9, 9, 269, 'vegeta'),
('2005-1-8', 38.00, 'Online', 'D', 1, 6, 319, 'lorenzo-tecchia'),
('2009-5-9', 35.00, 'Botteghino', 'B', 5, 2, 196, 'bickpenna'),
('2004-12-9', 31.00, 'Botteghino', 'C', 7, 1, 402, 'vegeta'),
('2011-3-6', 49.00, 'Prenotato', 'C', 9, 11, 33, 'giorgia'),
('2005-5-9', 43.00, 'Online', 'E', 7, 2, 447, 'lorenzo-tecchia'),
('2021-11-19', 48.00, 'Botteghino', 'B', 6, 14, 25, 'vegeta'),
