('2018-10-10', 49.00, 'Botteghino', 'E', 8, 10, 1, 'NULL'), 
('2006-2-21', 47.00, 'Online', 'E', 3, 3, 78, 'giorgia'), 
('2008-12-17', 45.00, 'Online', 'D', 3, 8, 79, 'giorgiovanni'), 
('2018-6-10', 46.00, 'Online', 'A', 1, 15, 80, 'lorenzo-tecchia'), 
('2007-1-12', 48.00, 'Online', 'D', 3, 5, 81, 'Goku'), 
('2013-3-13', 40.00, 'Botteghino', 'B', 3, 9, 82, 'NULL'), 
('2019-3-21', 38.00, 'Online', 'C', 6, 2, 83, 'giorgiovanni'), 
('2006-10-28', 50.00, 'Botteghino', 'D', 8, 8, 84, 'NULL'), 
('2014-2-22', 35.00, 'Botteghino', 'D', 7, 12, 85, 'NULL'), 
('2018-12-6', 42.00, 'Prenotato', 'E', 6, 9, 86, 'vegeta'), 
('2018-5-8', 41.00, 'Botteghino', 'D', 2, 9, 87, 'NULL'), 
('2004-11-3', 31.00, 'Online', 'A', 8, 12, 88, 'lorenzo-tecchia'), 
('2010-7-11', 49.00, 'Botteghino', 'E', 6, 4, 89, 'NULL'), 
('2003-5-2', 44.00, 'Botteghino', 'A', 4, 13, 90, 'NULL'), 
('2017-4-9', 35.00, 'Botteghino', 'E', 4, 13, 91, 'NULL'), 
('2021-7-15', 36.00, 'Online', 'B', 5, 9, 92, 'giorgiovanni'), 
('2019-8-6', 37.00, 'Botteghino', 'C', 7, 15, 93, 'NULL'), 
('2002-1-30', 50.00, 'Botteghino', 'A', 7, 4, 94, 'NULL'), 
('2011-1-24', 33.00, 'Prenotato', 'E', 1, 4, 95, 'homer'), 
('2019-11-9', 43.00, 'Online', 'A', 6, 4, 96, 'Goku'), 
('2020-10-10', 31.00, 'Prenotato', 'A', 9, 14, 97, 'giorgia'), 
('2017-12-30', 38.00, 'Botteghino', 'D', 8, 4, 98, 'NULL'), 
('2022-10-24', 34.00, 'Online', 'D', 1, 6, 99, 'giorgia'), 
('2018-11-29', 50.00, 'Botteghino', 'D', 6, 14, 100, 'NULL'), 
